date,count
2009-02-17,1356
2009-02-18,1393
2009-02-19,1344
2009-02-20,1428
2009-02-21,1339
2009-02-22,850
2009-02-23,850
2009-02-24,1422
2009-02-25,1553
2009-02-26,1531
2009-02-27,1606
2009-02-28,1276
2009-03-01,884
2009-03-02,475
2009-03-03,1180
2009-03-04,1496
2009-03-05,1558
2009-03-06,1549
2009-03-07,1511
2009-03-08,827
2009-03-09,936
2009-03-10,1481
2009-03-11,1611
2009-03-12,1484
2009-03-13,1507
2009-03-14,1355
2009-03-15,869
2009-03-16,915
2009-03-17,1227
2009-03-18,1567
2009-03-19,1424
2009-03-20,1461
2009-03-21,1271
2009-03-22,861
2009-03-23,939
2009-03-24,1409
2009-03-25,1642
2009-03-26,1361
2009-03-27,1481
2009-03-28,1221
2009-03-29,757
2009-03-30,903
2009-03-31,1272
2009-04-01,1548
2009-04-02,1488
2009-04-03,1374
2009-04-04,1214
2009-04-05,726
2009-04-06,768
2009-04-07,1318
2009-04-08,1511
2009-04-09,1522
2009-04-10,1318
2009-04-11,1087
2009-04-12,479
2009-04-13,838
2009-04-14,1159
2009-04-15,1379
2009-04-16,1361
2009-04-17,1357
2009-04-18,1082
2009-04-19,729
2009-04-20,717
2009-04-21,1320
2009-04-22,1571
2009-04-23,1425
2009-04-24,1331
2009-04-25,1104
2009-04-26,781
2009-04-27,887
2009-04-28,1426
2009-04-29,1515
2009-04-30,1375
2009-05-01,1384
2009-05-02,1232
2009-05-03,772
2009-05-04,750
2009-05-05,1296
2009-05-06,1498
2009-05-07,1390
2009-05-08,1584
2009-05-09,1203
2009-05-10,665
2009-05-11,1056
2009-05-12,1637
2009-05-13,1770
2009-05-14,1465
2009-05-15,1660
2009-05-16,1225
2009-05-17,750
2009-05-18,842
2009-05-19,1325
2009-05-20,1583
2009-05-21,1442
2009-05-22,1366
2009-05-23,1109
2009-05-24,718
2009-05-25,633
2009-05-26,1243
2009-05-27,1367
2009-05-28,1284
2009-05-29,1347
2009-05-30,983
2009-05-31,642
2009-06-01,853
2009-06-02,1373
2009-06-03,1412
2009-06-04,1042
2009-06-05,1264
2009-06-06,1233
2009-06-07,735
2009-06-08,902
2009-06-09,1327
2009-06-10,1583
2009-06-11,1338
2009-06-12,1360
2009-06-13,1019
2009-06-14,854
2009-06-15,830
2009-06-16,1458
2009-06-17,1497
2009-06-18,1135
2009-06-19,1479
2009-06-20,1135
2009-06-21,619
2009-06-22,963
2009-06-23,1463
2009-06-24,1343
2009-06-25,1374
2009-06-26,1319
2009-06-27,1080
2009-06-28,781
2009-06-29,820
2009-06-30,1184
2009-07-01,1424
2009-07-02,1317
2009-07-03,1359
2009-07-04,853
2009-07-05,808
2009-07-06,768
2009-07-07,1246
2009-07-08,1454
2009-07-09,1463
2009-07-10,1295
2009-07-11,1092
2009-07-12,658
2009-07-13,748
2009-07-14,1332
2009-07-15,1469
2009-07-16,1373
2009-07-17,1303
2009-07-18,1070
2009-07-19,755
2009-07-20,835
2009-07-21,1132
2009-07-22,1414
2009-07-23,1200
2009-07-24,1218
2009-07-25,1011
2009-07-26,728
2009-07-27,782
2009-07-28,1293
2009-07-29,1247
2009-07-30,1240
2009-07-31,1087
2009-08-01,1171
2009-08-02,733
2009-08-03,840
2009-08-04,1277
2009-08-05,1462
2009-08-06,1407
2009-08-07,1392
2009-08-08,1145
2009-08-09,890
2009-08-10,774
2009-08-11,1282
2009-08-12,1506
2009-08-13,1484
2009-08-14,1341
2009-08-15,1164
2009-08-16,784
2009-08-17,839
2009-08-18,1199
2009-08-19,1460
2009-08-20,1291
2009-08-21,1293
2009-08-22,1109
2009-08-23,757
2009-08-24,779
2009-08-25,1268
2009-08-26,1398
2009-08-27,1509
2009-08-28,1171
2009-08-29,1017
2009-08-30,754
2009-08-31,771
2009-09-01,1273
2009-09-02,1468
2009-09-03,1348
2009-09-04,1351
2009-09-05,1241
2009-09-06,808
2009-09-07,636
2009-09-08,1125
2009-09-09,1322
2009-09-10,1302
2009-09-11,1055
2009-09-12,1115
2009-09-13,809
2009-09-14,784
2009-09-15,1031
2009-09-16,1486
2009-09-17,1536
2009-09-18,1513
2009-09-19,1177
2009-09-20,751
2009-09-21,851
2009-09-22,1342
2009-09-23,1439
2009-09-24,1298
2009-09-25,1236
2009-09-26,988
2009-09-27,702
2009-09-28,695
2009-09-29,947
2009-09-30,1259
2009-10-01,1524
2009-10-02,1432
2009-10-03,1223
2009-10-04,856
2009-10-05,841
2009-10-06,1503
2009-10-07,1519
2009-10-08,1507
2009-10-09,1421
2009-10-10,1157
2009-10-11,927
2009-10-12,774
2009-10-13,1413
2009-10-14,1436
2009-10-15,1084
2009-10-16,1306
2009-10-17,1193
2009-10-18,640
2009-10-19,812
2009-10-20,1158
2009-10-21,1568
2009-10-22,1440
2009-10-23,1420
2009-10-24,926
2009-10-25,736
2009-10-26,844
2009-10-27,1199
2009-10-28,1101
2009-10-29,1145
2009-10-30,1292
2009-10-31,900
2009-11-01,740
2009-11-02,746
2009-11-03,1038
2009-11-04,1323
2009-11-05,1298
2009-11-06,1311
2009-11-07,1247
2009-11-08,884
2009-11-09,861
2009-11-10,1434
2009-11-11,1452
2009-11-12,1289
2009-11-13,1450
2009-11-14,1077
2009-11-15,748
2009-11-16,907
2009-11-17,1495
2009-11-18,1472
2009-11-19,1411
2009-11-20,1591
2009-11-21,1284
2009-11-22,754
2009-11-23,895
2009-11-24,1372
2009-11-25,1018
2009-11-26,331
2009-11-27,1110
2009-11-28,1044
2009-11-29,719
2009-11-30,665
2009-12-01,1382
2009-12-02,1452
2009-12-03,1395
2009-12-04,1469
2009-12-05,1022
2009-12-06,678
2009-12-07,804
2009-12-08,1422
2009-12-09,1304
2009-12-10,1220
2009-12-11,1141
2009-12-12,1135
2009-12-13,646
2009-12-14,823
2009-12-15,1239
2009-12-16,1364
2009-12-17,1076
2009-12-18,1187
2009-12-19,671
2009-12-20,381
2009-12-21,650
2009-12-22,1140
